         table_name          |       column_name       |          data_type          | is_nullable |                   column_default                   | character_maximum_length | numeric_precision | numeric_scale 
 tags                        | update_user             | integer                     | YES         |                                                    |                          |                32 |             0
 tags                        | update_datetime         | timestamp without time zone | YES         |                                                    |                          |                   |              
 tags                        | delete_flag             | integer                     | YES         |                                                    |                          |                32 |             0
 template_items              | type_id                 | integer                     | NO          |                                                    |                          |                32 |             0
 template_items              | item_no                 | integer                     | NO          |                                                    |                          |                32 |             0
 template_items              | item_name               | character varying           | NO          |                                                    |                       32 |                   |              
 template_items              | item_type               | integer                     | NO          |                                                    |                          |                32 |             0
 template_items              | description             | character varying           | YES         |                                                    |                     1024 |                   |              
 template_items              | insert_user             | integer                     | YES         |                                                    |                          |                32 |             0
 template_items              | insert_datetime         | timestamp without time zone | YES         |                                                    |                          |                   |              
 template_items              | update_user             | integer                     | YES         |                                                    |                          |                32 |             0
 template_items              | update_datetime         | timestamp without time zone | YES         |                                                    |                          |                   |              
 template_items              | delete_flag             | integer                     | YES         |                                                    |                          |                32 |             0
 template_items              | initial_value           | text                        | YES         |                                                    |                          |                   |              
 template_masters            | type_id                 | integer                     | NO          | nextval('template_masters_type_id_seq'::regclass)  |                          |                32 |             0
 template_masters            | type_name               | character varying           | NO          |                                                    |                      256 |                   |              
 template_masters            | type_icon               | character varying           | YES         |                                                    |                       64 |                   |              
 template_masters            | description             | character varying           | YES         |                                                    |                     1024 |                   |              
 template_masters            | insert_user             | integer                     | YES         |                                                    |                          |                32 |             0
 template_masters            | insert_datetime         | timestamp without time zone | YES         |                                                    |                          |                   |              
 template_masters            | update_user             | integer                     | YES         |                                                    |                          |                32 |             0
 template_masters            | update_datetime         | timestamp without time zone | YES         |                                                    |                          |                   |              
 template_masters            | delete_flag             | integer                     | YES         |                                                    |                          |                32 |             0
 template_masters            | initial_value           | text                        | YES         |                                                    |                          |                   |              
 tokens                      | token                   | character varying           | NO          |                                                    |                      128 |                   |              
 tokens                      | user_id                 | integer                     | NO          |                                                    |                          |                32 |             0
 tokens                      | expires                 | timestamp without time zone | NO          |                                                    |                          |                   |              
 tokens                      | insert_user             | integer                     | YES         |                                                    |                          |                32 |             0
 tokens                      | insert_datetime         | timestamp without time zone | YES         |                                                    |                          |                   |              
 tokens                      | update_user             | integer                     | YES         |                                                    |                          |                32 |             0
 tokens                      | update_datetime         | timestamp without time zone | YES         |                                                    |                          |                   |              
 tokens                      | delete_flag             | integer                     | YES         |                                                    |                          |                32 |             0
 user_alias                  | user_id                 | integer                     | NO          |                                                    |                          |                32 |             0
 user_alias                  | auth_key                | character varying           | NO          |                                                    |                       64 |                   |              
 user_alias                  | alias_key               | character varying           | NO          |                                                    |                      256 |                   |              
 user_alias                  | alias_name              | character varying           | NO          |                                                    |                      256 |                   |              
 user_alias                  | alias_mail              | character varying           | YES         |                                                    |                      256 |                   |              
 user_alias                  | user_info_update        | integer                     | YES         |                                                    |                          |                32 |             0
 user_alias                  | row_id                  | character varying           | YES         |                                                    |                       64 |                   |              
 user_alias                  | insert_user             | integer                     | YES         |                                                    |                          |                32 |             0
 user_alias                  | insert_datetime         | timestamp without time zone | YES         |                                                    |                          |                   |              
 user_alias                  | update_user             | integer                     | YES         |                                                    |                          |                32 |             0
 user_alias                  | update_datetime         | timestamp without time zone | YES         |                                                    |                          |                   |              
 user_alias                  | delete_flag             | integer                     | YES         |                                                    |                          |                32 |             0
 user_badges                 | user_id                 | integer                     | NO          |                                                    |                          |                32 |             0
 user_badges                 | no                      | integer                     | NO          |                                                    |                          |                32 |             0
 user_badges                 | insert_user             | integer                     | YES         |                                                    |                          |                32 |             0
 user_badges                 | insert_datetime         | timestamp without time zone | YES         |                                                    |                          |                   |              
 user_badges                 | update_user             | integer                     | YES         |                                                    |                          |                32 |             0
 user_badges                 | update_datetime         | timestamp without time zone | YES         |                                                    |                          |                   |              
 user_badges                 | delete_flag             | integer                     | YES         |                                                    |                          |                32 |             0
 user_configs                | system_name             | character varying           | NO          |                                                    |                       64 |                   |              
 user_configs                | user_id                 | integer                     | NO          |                                                    |                          |                32 |             0
 user_configs                | config_name             | character varying           | NO          |                                                    |                      256 |                   |              
 user_configs                | config_value            | character varying           | YES         |                                                    |                     1024 |                   |              
 user_configs                | row_id                  | character varying           | YES         |                                                    |                       64 |                   |              
 user_configs                | insert_user             | integer                     | YES         |                                                    |                          |                32 |             0
 user_configs                | insert_datetime         | timestamp without time zone | YES         |                                                    |                          |                   |              
 user_configs                | update_user             | integer                     | YES         |                                                    |                          |                32 |             0
 user_configs                | update_datetime         | timestamp without time zone | YES         |                                                    |                          |                   |              
 user_configs                | delete_flag             | integer                     | YES         |                                                    |                          |                32 |             0
 user_groups                 | user_id                 | integer                     | NO          |                                                    |                          |                32 |             0
 user_groups                 | group_id                | integer                     | NO          |                                                    |                          |                32 |             0
 user_groups                 | group_role              | integer                     | YES         |                                                    |                          |                32 |             0
 user_groups                 | row_id                  | character varying           | YES         |                                                    |                       64 |                   |              
 user_groups                 | insert_user             | integer                     | YES         |                                                    |                          |                32 |             0
 user_groups                 | insert_datetime         | timestamp without time zone | YES         |                                                    |                          |                   |              
 user_groups                 | update_user             | integer                     | YES         |                                                    |                          |                32 |             0
 user_groups                 | update_datetime         | timestamp without time zone | YES         |                                                    |                          |                   |              
 user_groups                 | delete_flag             | integer                     | YES         |                                                    |                          |                32 |             0
 user_notifications          | user_id                 | integer                     | NO          |                                                    |                          |                32 |             0
 user_notifications          | no                      | bigint                      | NO          |                                                    |                          |                64 |             0
 user_notifications          | status                  | integer                     | YES         |                                                    |                          |                32 |             0
 user_notifications          | row_id                  | character varying           | YES         |                                                    |                       64 |                   |              
 user_notifications          | insert_user             | integer                     | YES         |                                                    |                          |                32 |             0
 user_notifications          | insert_datetime         | timestamp without time zone | YES         |                                                    |                          |                   |              
 user_notifications          | update_user             | integer                     | YES         |                                                    |                          |                32 |             0
 user_notifications          | update_datetime         | timestamp without time zone | YES         |                                                    |                          |                   |              
 user_notifications          | delete_flag             | integer                     | YES         |                                                    |                          |                32 |             0
 user_roles                  | user_id                 | integer                     | NO          |                                                    |                          |                32 |             0
 user_roles                  | role_id                 | integer                     | NO          |                                                    |                          |                32 |             0
 user_roles                  | row_id                  | character varying           | YES         |                                                    |                       64 |                   |              
 user_roles                  | insert_user             | integer                     | YES         |                                                    |                          |                32 |             0
 user_roles                  | insert_datetime         | timestamp without time zone | YES         |                                                    |                          |                   |              
 user_roles                  | update_user             | integer                     | YES         |                                                    |                          |                32 |             0
 user_roles                  | update_datetime         | timestamp without time zone | YES         |                                                    |                          |                   |              
 user_roles                  | delete_flag             | integer                     | YES         |                                                    |                          |                32 |             0
 users                       | user_id                 | integer                     | NO          | nextval('users_user_id_seq'::regclass)             |                          |                32 |             0
 users                       | user_key                | character varying           | NO          |                                                    |                      256 |                   |              
 users                       | user_name               | character varying           | NO          |                                                    |                      256 |                   |              
 users                       | password                | character varying           | NO          |                                                    |                     1024 |                   |              
 users                       | salt                    | character varying           | YES         |                                                    |                     1024 |                   |              
 users                       | locale_key              | character varying           | YES         |                                                    |                       12 |                   |              
 users                       | mail_address            | character varying           | YES         |                                                    |                      256 |                   |              
 users                       | auth_ldap               | integer                     | YES         |                                                    |                          |                32 |             0
 users                       | row_id                  | character varying           | YES         |                                                    |                       64 |                   |              
 users                       | insert_user             | integer                     | YES         |                                                    |                          |                32 |             0
 users                       | insert_datetime         | timestamp without time zone | YES         |                                                    |                          |                   |              
 users                       | update_user             | integer                     | YES         |                                                    |                          |                32 |             0
 users                       | update_datetime         | timestamp without time zone | YES         |                                                    |                          |                   |              
 users                       | delete_flag             | integer                     | YES         |                                                    |                          |                32 |             0
 view_histories              | history_no              | bigint                      | NO          | nextval('view_histories_history_no_seq'::regclass) |                          |                64 |             0
 view_histories              | knowledge_id            | bigint                      | NO          |                                                    |                          |                64 |             0
 view_histories              | view_date_time          | timestamp without time zone | NO          |                                                    |                          |                   |              
 view_histories              | insert_user             | integer                     | YES         |                                                    |                          |                32 |             0
 view_histories              | insert_datetime         | timestamp without time zone | YES         |                                                    |                          |                   |              
 view_histories              | update_user             | integer                     | YES         |                                                    |                          |                32 |             0
 view_histories              | update_datetime         | timestamp without time zone | YES         |                                                    |                          |                   |              
 view_histories              | delete_flag             | integer                     | YES         |                                                    |                          |                32 |             0
 votes                       | vote_no                 | bigint                      | NO          | nextval('votes_vote_no_seq'::regclass)             |                          |                64 |             0
 votes                       | knowledge_id            | bigint                      | NO          |                                                    |                          |                64 |             0
 votes                       | vote_kind               | integer                     | NO          |                                                    |                          |                32 |             0
 votes                       | insert_user             | integer                     | YES         |                                                    |                          |                32 |             0
 votes                       | insert_datetime         | timestamp without time zone | YES         |                                                    |                          |                   |              
 votes                       | update_user             | integer                     | YES         |                                                    |                          |                32 |             0
 votes                       | update_datetime         | timestamp without time zone | YES         |                                                    |                          |                   |              
 votes                       | delete_flag             | integer                     | YES         |                                                    |                          |                32 |             0
 webhook_configs             | hook_id                 | integer                     | NO          | nextval('webhook_configs_hook_id_seq'::regclass)   |                          |                32 |             0
 webhook_configs             | hook                    | character varying           | NO          |                                                    |                       20 |                   |              
 webhook_configs             | url                     | character varying           | NO          |                                                    |                      256 |                   |              
 webhook_configs             | insert_user             | integer                     | YES         |                                                    |                          |                32 |             0
 webhook_configs             | insert_datetime         | timestamp without time zone | YES         |                                                    |                          |                   |              
 webhook_configs             | update_user             | integer                     | YES         |                                                    |                          |                32 |             0
 webhook_configs             | update_datetime         | timestamp without time zone | YES         |                                                    |                          |                   |              
 webhook_configs             | delete_flag             | integer                     | YES         |                                                    |                          |                32 |             0
 webhook_configs             | ignore_proxy            | integer                     | YES         |                                                    |                          |                32 |             0
 webhook_configs             | template                | text                        | YES         |                                                    |                          |                   |              
 webhooks                    | webhook_id              | character varying           | NO          |                                                    |                       64 |                   |              
 webhooks                    | status                  | integer                     | NO          |                                                    |                          |                32 |             0
 webhooks                    | hook                    | character varying           | YES         |                                                    |                       20 |                   |              
 webhooks                    | content                 | text                        | YES         |                                                    |                          |                   |              
 webhooks                    | insert_user             | integer                     | YES         |                                                    |                          |                32 |             0
 webhooks                    | insert_datetime         | timestamp without time zone | YES         |                                                    |                          |                   |              
 webhooks                    | update_user             | integer                     | YES         |                                                    |                          |                32 |             0
 webhooks                    | update_datetime         | timestamp without time zone | YES         |                                                    |                          |                   |              
 webhooks                    | delete_flag             | integer                     | YES         |                                                    |                          |                32 |             0
(786 行)

